taxonomy_category,taxonomy_term,definition_or_notes,raw_row
LLM Taxonomy,Model cards,"The characteristics of models can be described using model cards. Model cards are files that maintain the context of the model which is essential for Governance and making sure AI models can be used correctly. Model cards2 consist of model context details like ownership, performance characteristics, data sets the model is trained on, order of training etc. This also helps with traceability, lineage and understanding the behavior of the model. Model cards need to be continuously maintained and updated as the context metadata changes. [CSA, 2025]","Model cards | The characteristics of models can be described using model cards. Model cards are files that maintain the context of the model which is essential for Governance and making sure AI models can be used correctly. Model cards2 consist of model context details like ownership, performance characteristics, data sets the model is trained on, order of training etc. This also helps with traceability, lineage and understanding the behavior of the model. Model cards need to be continuously maintained and updated as the context metadata changes. [CSA, 2025]"
LLM Taxonomy,Orchestrated Services,"These services encompass a range of components and functionalities that enable the efficient and secure operation of LLMs. | Caching Services | Caching Services refer to systems or components that facilitate the caching of model predictions, inputs, or other data to enhance performance by reducing redundant computations. By temporarily storing frequently accessed data, caching services help minimize response times and alleviate computational strain on LLMs.","Orchestrated Services | These services encompass a range of components and functionalities that enable the efficient and secure operation of LLMs. | Caching Services | Caching Services refer to systems or components that facilitate the caching of model predictions, inputs, or other data to enhance performance by reducing redundant computations. By temporarily storing frequently accessed data, caching services help minimize response times and alleviate computational strain on LLMs."
LLM Taxonomy,Security Gateways (LLM Gateways),"Security Gateways, also known as LLM Gateways, are specialized components that serve as intermediaries between LLMs and external systems. These gateways bolster security by implementing access control measures, input validation, filtering malicious content (such as prompt injections), PII/privacy information, and safeguards against potential threats or misuse, ensuring the integrity and confidentiality of data processed by LLMs.","Security Gateways (LLM Gateways) | Security Gateways, also known as LLM Gateways, are specialized components that serve as intermediaries between LLMs and external systems. These gateways bolster security by implementing access control measures, input validation, filtering malicious content (such as prompt injections), PII/privacy information, and safeguards against potential threats or misuse, ensuring the integrity and confidentiality of data processed by LLMs."
LLM Taxonomy,Deployment Services,"Deployment Services streamline the deployment and scaling of LLMs across diverse environments, including cloud platforms and on-premises infrastructure. These services automate deployment processes, facilitate version management, and optimize resource allocation to ensure efficient and seamless LLM deployment.","Deployment Services | Deployment Services streamline the deployment and scaling of LLMs across diverse environments, including cloud platforms and on-premises infrastructure. These services automate deployment processes, facilitate version management, and optimize resource allocation to ensure efficient and seamless LLM deployment."
LLM Taxonomy,Monitoring Services,"Monitoring Services are pivotal in overseeing LLM security, performance, health, and usage. These services employ monitoring tools and techniques to gather real-time insights, detect anomalies, misuse (such as prompt injections) and issue alerts, enabling security, proactive maintenance, and timely intervention to uphold the optimal operation of LLMs.","Monitoring Services | Monitoring Services are pivotal in overseeing LLM security, performance, health, and usage. These services employ monitoring tools and techniques to gather real-time insights, detect anomalies, misuse (such as prompt injections) and issue alerts, enabling security, proactive maintenance, and timely intervention to uphold the optimal operation of LLMs."
LLM Taxonomy,AI Applications,"Software systems that utilize artificial intelligence technologies to perform tasks that typically require human intelligence such as decision-making, natural language processing, or predictive analytics. These applications are designed to enhance efficiency and capabilities but require robust security measures to address risks like adversarial attacks, data poisoning, and compliance challenges. | User Interfaces | User-friendly interfaces to interact with LLM-powered applications. Consider the context where the LLM will be used and tailor the interface accordingly.","AI Applications | Software systems that utilize artificial intelligence technologies to perform tasks that typically require human intelligence such as decision-making, natural language processing, or predictive analytics. These applications are designed to enhance efficiency and capabilities but require robust security measures to address risks like adversarial attacks, data poisoning, and compliance challenges. | User Interfaces | User-friendly interfaces to interact with LLM-powered applications. Consider the context where the LLM will be used and tailor the interface accordingly."
LLM Taxonomy,Application-specific Models,"AI models tailored and optimized for specific use cases or domains. These models are trained using domain-specific data to perform specialized tasks, such as customer support chatbots, medical diagnosis systems, or financial fraud detection. They often prioritize efficiency, accuracy, and relevance within their designated application context, while requiring focused security measures to address risks unique to their specialized use and data.","Application-specific Models | AI models tailored and optimized for specific use cases or domains. These models are trained using domain-specific data to perform specialized tasks, such as customer support chatbots, medical diagnosis systems, or financial fraud detection. They often prioritize efficiency, accuracy, and relevance within their designated application context, while requiring focused security measures to address risks unique to their specialized use and data."
LLM Taxonomy,Integration Tools,"Software and platforms that facilitate the seamless incorporation of AI models into existing systems and workflows. These tools enable interoperability between different applications, manage data flow, and ensure that AI functionalities can be effectively utilized within various operational environments.","Integration Tools | Software and platforms that facilitate the seamless incorporation of AI models into existing systems and workflows. These tools enable interoperability between different applications, manage data flow, and ensure that AI functionalities can be effectively utilized within various operational environments."
LLM Taxonomy,Decision Support Systems,"AI applications that leverage Large Language Models (LLMs) and associated components to assist users in decision-making processes by providing relevant insights, recommendations, or data-driven analyses. These systems serve as an interface through which users interact with LLM outputs to support complex, real-world decisions across domains such as healthcare, finance, operations, and governance","Decision Support Systems | AI applications that leverage Large Language Models (LLMs) and associated components to assist users in decision-making processes by providing relevant insights, recommendations, or data-driven analyses. These systems serve as an interface through which users interact with LLM outputs to support complex, real-world decisions across domains such as healthcare, finance, operations, and governance"
LLM Taxonomy,Content Generation Tools,"Software applications that utilize artificial intelligence, particularly generative models, to automatically produce various forms of content such as text, images, audio, or video. These tools are designed to enhance productivity and creativity by generating content that mimics human-like quality and diversity. They can work autonomously or collaboratively.These tools streamline the creation process by interpreting natural language inputs, generating high-quality outputs, and enabling creativity, productivity, and scalability across industries.","Content Generation Tools | Software applications that utilize artificial intelligence, particularly generative models, to automatically produce various forms of content such as text, images, audio, or video. These tools are designed to enhance productivity and creativity by generating content that mimics human-like quality and diversity. They can work autonomously or collaboratively.These tools streamline the creation process by interpreting natural language inputs, generating high-quality outputs, and enabling creativity, productivity, and scalability across industries."
LLM Taxonomy,Accessibility Tools,"Software or hardware solutions designed to assist individuals with disabilities in accessing and interacting with digital content and technologies. These tools aim to remove barriers and enhance usability for all users, regardless of their physical or cognitive abilities. Examples include screen readers for the visually impaired, voice recognition software for those with mobility challenges, and captioning tools for individuals with hearing impairments. Implementing accessibility tools is essential for creating inclusive digital environments and ensuring compliance with accessibility standards and regulations.","Accessibility Tools | Software or hardware solutions designed to assist individuals with disabilities in accessing and interacting with digital content and technologies. These tools aim to remove barriers and enhance usability for all users, regardless of their physical or cognitive abilities. Examples include screen readers for the visually impaired, voice recognition software for those with mobility challenges, and captioning tools for individuals with hearing impairments. Implementing accessibility tools is essential for creating inclusive digital environments and ensuring compliance with accessibility standards and regulations."
Control Type,Cloud-Specific,This control is cloud security specific and does not apply to AI security,Cloud-Specific | This control is cloud security specific and does not apply to AI security
Control Type,Cloud & AI Related,This control applies to both the cloud security and AI Security,Cloud & AI Related | This control applies to both the cloud security and AI Security
Control Type,AI-Specific,This control is AI security specific and does not apply to cloud security,AI-Specific | This control is AI security specific and does not apply to cloud security
Control Ownership ID/SSRM Control Ownership,Owned by the Cloud Service Provider (CSP),"The Cloud Service Provider (CSP) is responsible for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with cloud computing (processing, storage, and networking) technologies in the context of the services or products they develop and offer. The CSP is responsible and accountable for implementing the control within its own infrastructure/environment. The CSP is responsible for enabling the customer and/or upstream partner to implement/configure the control within their risk management approach. The CSP is accountable for ensuring that its providers upstream implement the control related to the service/product developed and offered by the CSP.","Owned by the Cloud Service Provider (CSP) | The Cloud Service Provider (CSP) is responsible for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with cloud computing (processing, storage, and networking) technologies in the context of the services or products they develop and offer. The CSP is responsible and accountable for implementing the control within its own infrastructure/environment. The CSP is responsible for enabling the customer and/or upstream partner to implement/configure the control within their risk management approach. The CSP is accountable for ensuring that its providers upstream implement the control related to the service/product developed and offered by the CSP."
Control Ownership ID/SSRM Control Ownership,Owned by the Model Provider (MP),"The model provider (MP) designs, develops, and implements the control as part of their services or products to mitigate security, privacy, or compliance risks associated with the Large Language Model (LLM). Model Providers are entities that develop, train, and distribute foundational and fine-tuned AI models for various applications. They create the underlying AI capabilities that other actors build upon. Model Providers are responsible for model architecture, training methodologies, performance characteristics, and documentation of capabilities and limitations. They operate at the foundation layer of the AI stack and may provide direct API access to their models. Examples: OpenAI (GPT, DALL-E, Whisper), Anthropic(Claude), Google(Gemini), Meta(Llama), as well as any customized model.","Owned by the Model Provider (MP) | The model provider (MP) designs, develops, and implements the control as part of their services or products to mitigate security, privacy, or compliance risks associated with the Large Language Model (LLM). Model Providers are entities that develop, train, and distribute foundational and fine-tuned AI models for various applications. They create the underlying AI capabilities that other actors build upon. Model Providers are responsible for model architecture, training methodologies, performance characteristics, and documentation of capabilities and limitations. They operate at the foundation layer of the AI stack and may provide direct API access to their models. Examples: OpenAI (GPT, DALL-E, Whisper), Anthropic(Claude), Google(Gemini), Meta(Llama), as well as any customized model."
Control Ownership ID/SSRM Control Ownership,Owned by the Orchestrated Service Provider (OSP),"The Orchestrated Service Provider (OSP) is responsible for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer. The OSP is responsible and accountable for the implementation of the control within its own infrastructure/environment. If the control has downstream implications on the users/customers, the OSP is responsible for enabling the customer and/or upstream partner in the implementation/configuration of the control within their risk management approach. The OSP is accountable for ensuring that its providers upstream (e.g MPs) implement the control as it relates to the service/product the develop and offered by the OSP. This refers to entities that create the technical building blocks and management tools that enable AI implementation. This can include platforms, frameworks, and tools that facilitate the integration, deployment, and management of AI models within enterprise workflows. These providers focus on model orchestration and offer services like API access, automated scaling, prompt management, workflow automation, monitoring, and governance rather than end-user functionality or raw infrastructure. They help businesses implement AI in a structured and efficient manner. Examples: AWS, Azure, GCP, OpenAI, Anthropic, LangChain (for AI workflow orchestration), Anyscale (Ray for distributed AI workloads), Databricks (MLflow), IBM Watson Orchestrate, and developer platforms like Google AI Studio.","Owned by the Orchestrated Service Provider (OSP) | The Orchestrated Service Provider (OSP) is responsible for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer. The OSP is responsible and accountable for the implementation of the control within its own infrastructure/environment. If the control has downstream implications on the users/customers, the OSP is responsible for enabling the customer and/or upstream partner in the implementation/configuration of the control within their risk management approach. The OSP is accountable for ensuring that its providers upstream (e.g MPs) implement the control as it relates to the service/product the develop and offered by the OSP. This refers to entities that create the technical building blocks and management tools that enable AI implementation. This can include platforms, frameworks, and tools that facilitate the integration, deployment, and management of AI models within enterprise workflows. These providers focus on model orchestration and offer services like API access, automated scaling, prompt management, workflow automation, monitoring, and governance rather than end-user functionality or raw infrastructure. They help businesses implement AI in a structured and efficient manner. Examples: AWS, Azure, GCP, OpenAI, Anthropic, LangChain (for AI workflow orchestration), Anyscale (Ray for distributed AI workloads), Databricks (MLflow), IBM Watson Orchestrate, and developer platforms like Google AI Studio."
Control Ownership ID/SSRM Control Ownership,Owned by the Application Provider (AP),"The Application Provider (AP) is responsible for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer. The AP is responsible and accountable for the implementation of the control within its own infrastructure/environment. If the control has downstream implications on the users/customers, the AP is responsible for enabling the customer and/or upstream partner in the implementation/configuration of the control within their risk management approach. The AP is accountable for carrying out the due diligence on its upstream providers (e.g MPs, Orchestrated Services) to verify that they implement the control as it relates to the service/product develop and offered by the AP. These providers build and offer end-user applications that leverage generative AI models for specific tasks such as content creation, chatbots, code generation, and enterprise automation. These applications are often delivered as software-as-a-service (SaaS) solutions. These providers focus on user interfaces, application logic, domain-specific functionality, and overall user experience rather than underlying model development. Example: OpenAI (GPTs,Assistants), Zapier, CustomGPT, Microsoft Copilot (integrated into Office products), Jasper (AI-driven content generation), Notion AI (AI-enhanced productivity tools), Adobe Firefly (AI-generated media), and AI-powered customer service solutions like Amazon Rufus, as well as any organization that develops its AI-based application internally.","Owned by the Application Provider (AP) | The Application Provider (AP) is responsible for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer. The AP is responsible and accountable for the implementation of the control within its own infrastructure/environment. If the control has downstream implications on the users/customers, the AP is responsible for enabling the customer and/or upstream partner in the implementation/configuration of the control within their risk management approach. The AP is accountable for carrying out the due diligence on its upstream providers (e.g MPs, Orchestrated Services) to verify that they implement the control as it relates to the service/product develop and offered by the AP. These providers build and offer end-user applications that leverage generative AI models for specific tasks such as content creation, chatbots, code generation, and enterprise automation. These applications are often delivered as software-as-a-service (SaaS) solutions. These providers focus on user interfaces, application logic, domain-specific functionality, and overall user experience rather than underlying model development. Example: OpenAI (GPTs,Assistants), Zapier, CustomGPT, Microsoft Copilot (integrated into Office products), Jasper (AI-driven content generation), Notion AI (AI-enhanced productivity tools), Adobe Firefly (AI-generated media), and AI-powered customer service solutions like Amazon Rufus, as well as any organization that develops its AI-based application internally."
Control Ownership ID/SSRM Control Ownership,Owned by the Customer (AIC),"The Customer (AIC) is responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies services or products they consume.","Owned by the Customer (AIC) | The Customer (AIC) is responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies services or products they consume."
Control Ownership ID/SSRM Control Ownership,Shared across the supply chain,"Shared control ownership refers to responsibilities and activities related to LLM security that are distributed across multiple stakeholders within the AI supply chain, including the Cloud Service Provider (CSP), Model Provider (MP), Orchestrated Service Provider (OSP), Application Provider (AP), and Customer (AIC). These controls require coordinated actions, communication, and governance across all involved parties to ensure their effectiveness.","Shared across the supply chain | Shared control ownership refers to responsibilities and activities related to LLM security that are distributed across multiple stakeholders within the AI supply chain, including the Cloud Service Provider (CSP), Model Provider (MP), Orchestrated Service Provider (OSP), Application Provider (AP), and Customer (AIC). These controls require coordinated actions, communication, and governance across all involved parties to ensure their effectiveness."
Control Ownership ID/SSRM Control Ownership,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),"The CSP and MP are jointly responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer.","Shared Cloud Service Provider-Model Provider (Shared CSP-MP) | The CSP and MP are jointly responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer."
Control Ownership ID/SSRM Control Ownership,Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),"The MP and OSP are jointly responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer.","Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP) | The MP and OSP are jointly responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer."
Control Ownership ID/SSRM Control Ownership,Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),"The OSP and AP are jointly responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer.","Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP) | The OSP and AP are jointly responsible and accountable for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they develop and offer."
Control Ownership ID/SSRM Control Ownership,Shared Application Provider-AI Customer (Shared AP-AIC),"The AP and AIC both share responsibility and accountability for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they offer and consume.","Shared Application Provider-AI Customer (Shared AP-AIC) | The AP and AIC both share responsibility and accountability for the design, development, implementation, and enforcement of the control to mitigate security, privacy, or compliance risks associated with Large Language Model (LLM)/GenAI technologies in the context of the services or products they offer and consume."
Threat Category,Model Manipulation,"This category involves attempts to evade detection or manipulate the LLM model to produce inaccurate or misleading results. It encompasses techniques, such as direct or indirect prompt injection (adversarial inputs), which aim to exploit vulnerabilities in the model's understanding and decision-making processes.","Model Manipulation | This category involves attempts to evade detection or manipulate the LLM model to produce inaccurate or misleading results. It encompasses techniques, such as direct or indirect prompt injection (adversarial inputs), which aim to exploit vulnerabilities in the model's understanding and decision-making processes."
Threat Category,Data Poisoning,"Data poisoning refers to manipulating training data used to train an LLM model. This manipulation can be malicious, with attackers intentionally injecting false, misleading, or unintentional data points, where errors or biases in the original data set are included. In either case, data poisoning can lead to a tainted model that learns incorrect patterns, produces biased predictions, and becomes untrustworthy.","Data Poisoning | Data poisoning refers to manipulating training data used to train an LLM model. This manipulation can be malicious, with attackers intentionally injecting false, misleading, or unintentional data points, where errors or biases in the original data set are included. In either case, data poisoning can lead to a tainted model that learns incorrect patterns, produces biased predictions, and becomes untrustworthy."
Threat Category,Sensitive data disclosure,"This category encompasses threats related to the unauthorized access, exposure, or leakage of sensitive information processed or stored by the LLM service. Sensitive data may include personal information, proprietary data, or confidential documents, the exposure of which could lead to privacy violations or security breaches.","Sensitive data disclosure | This category encompasses threats related to the unauthorized access, exposure, or leakage of sensitive information processed or stored by the LLM service. Sensitive data may include personal information, proprietary data, or confidential documents, the exposure of which could lead to privacy violations or security breaches."
Threat Category,Model Theft,"Model Theft (distillation) involves unauthorized access to, or replication of, the LLM model by malicious actors. Attackers may attempt to reverse-engineer the model architecture or extract proprietary algorithms and parameters, leading to intellectual property theft or the creation of unauthorized replicas.","Model Theft | Model Theft (distillation) involves unauthorized access to, or replication of, the LLM model by malicious actors. Attackers may attempt to reverse-engineer the model architecture or extract proprietary algorithms and parameters, leading to intellectual property theft or the creation of unauthorized replicas."
Threat Category,Model/Service Failure/malfunctioning,"This category covers various types of failures or malfunctions within the LLM service, including software bugs, hardware failures, hallucinations, or operational errors. Such incidents can disrupt service availability, degrade performance, or compromise the accuracy and reliability of the LLM model's outputs.","Model/Service Failure/malfunctioning | This category covers various types of failures or malfunctions within the LLM service, including software bugs, hardware failures, hallucinations, or operational errors. Such incidents can disrupt service availability, degrade performance, or compromise the accuracy and reliability of the LLM model's outputs."
Threat Category,Insecure supply chain,"An insecure supply chain refers to vulnerabilities introduced through third-party components, dependencies, or services integrated into the LLM ecosystem. Vulnerabilities in the supply chain, such as compromised software libraries or hardware components, can be exploited to compromise the overall security and trustworthiness of the LLM service.","Insecure supply chain | An insecure supply chain refers to vulnerabilities introduced through third-party components, dependencies, or services integrated into the LLM ecosystem. Vulnerabilities in the supply chain, such as compromised software libraries or hardware components, can be exploited to compromise the overall security and trustworthiness of the LLM service."
Threat Category,Insecure apps/plugins,"This category pertains to vulnerabilities introduced in plugins, functional calls, or extensions that interact with the LLM service. Insecure or maliciously designed applications/plugins may introduce security loopholes, elevate privilege levels, or facilitate unauthorized access to sensitive resources. Insecure plugins pose risks to both the input and output of integrated systems.","Insecure apps/plugins | This category pertains to vulnerabilities introduced in plugins, functional calls, or extensions that interact with the LLM service. Insecure or maliciously designed applications/plugins may introduce security loopholes, elevate privilege levels, or facilitate unauthorized access to sensitive resources. Insecure plugins pose risks to both the input and output of integrated systems."
Threat Category,Denial of Service (DoS),"Denial of Service attacks aim to disrupt the availability or functionality of the LLM service by overwhelming it with a high volume of requests or malicious traffic. DoS attacks can render the service inaccessible to legitimate users, causing downtime, service degradation, or loss of trust.","Denial of Service (DoS) | Denial of Service attacks aim to disrupt the availability or functionality of the LLM service by overwhelming it with a high volume of requests or malicious traffic. DoS attacks can render the service inaccessible to legitimate users, causing downtime, service degradation, or loss of trust."
Threat Category,Loss of governance/compliance,"This category involves the risk of non-compliance with regulatory requirements, industry standards, or internal governance policies governing the operation and use of the LLM service. Failure to adhere to governance and compliance standards can result in legal liabilities, financial penalties, or reputational damage.","Loss of governance/compliance | This category involves the risk of non-compliance with regulatory requirements, industry standards, or internal governance policies governing the operation and use of the LLM service. Failure to adhere to governance and compliance standards can result in legal liabilities, financial penalties, or reputational damage."
Threat Category,"© Copyright 2025-2026 Cloud Security Alliance - All rights reserved. You may download, store, display on your computer, view, print, and link to the Cloud Security Alliance “AI Controls Matrix (AICM) Version 1.0.3” at https://cloudsecurityalliance.org subject to the following: (a) the AI Controls Matrix v1.0.3 may be used solely for your personal, informational, non-commercial use; (b) the AI Controls Matrix v1.0.3 may not be modified or altered in any way; (c) the AI Controls Matrix v1.0.3 may not be redistributed; and (d) the trademark, copyright or other notices may not be removed. You may quote portions of the AI Controls Matrix v1.0.3 as permitted by the Fair Use provisions of the United States Copyright Act, provided that you attribute the portions to the Cloud Security Alliance AI Controls Matrix Version 1.0.3. If you are interested in obtaining a license to this #material for other usages not addresses in the copyright notice, please contact info@cloudsecurityalliance.org.",,"© Copyright 2025-2026 Cloud Security Alliance - All rights reserved. You may download, store, display on your computer, view, print, and link to the Cloud Security Alliance “AI Controls Matrix (AICM) Version 1.0.3” at https://cloudsecurityalliance.org subject to the following: (a) the AI Controls Matrix v1.0.3 may be used solely for your personal, informational, non-commercial use; (b) the AI Controls Matrix v1.0.3 may not be modified or altered in any way; (c) the AI Controls Matrix v1.0.3 may not be redistributed; and (d) the trademark, copyright or other notices may not be removed. You may quote portions of the AI Controls Matrix v1.0.3 as permitted by the Fair Use provisions of the United States Copyright Act, provided that you attribute the portions to the Cloud Security Alliance AI Controls Matrix Version 1.0.3. If you are interested in obtaining a license to this #material for other usages not addresses in the copyright notice, please contact info@cloudsecurityalliance.org."
