control_domain,control_title,control_id,control_specification,question_id,consensus_assessments_question,control_type,relevant_threat_categories,relevant_stack_components,used_by_agent,criticality
"Cryptography, Encryption & Key Management",Key Generation,CEK-10,Generate Cryptographic keys using industry accepted cryptographic libraries specifying the algorithm strength and the random number generator used.,CEK-10.1,Are cryptographic keys generated using industry-accepted and approved cryptographic libraries that specify algorithm strength and random number generator specifications?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, App",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Purpose,CEK-11,Manage cryptographic secret and private keys that are provisioned for a unique purpose.,CEK-11.1,Are cryptographic secrets and private keys that are provisioned for a unique purpose properly managed?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Rotation,CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod, which includes provisions for considering the risk of information disclosure and legal and regulatory requirements.",CEK-12.1,"Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks, and legal and regulatory requirements?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Revocation,CEK-13,"Define, implement and evaluate processes, procedures and technical measures to revoke and remove cryptographic keys prior to the end of its established cryptoperiod, when a key is compromised, or an entity is no longer part of the organization, which include provisions for legal and regulatory requirements.",CEK-13.1,"Are cryptographic keys revoked and removed before the end of the established cryptoperiod (when a key is compromised, or an entity is no longer part of the organization) per defined, implemented, and evaluated processes, procedures, and technical measures which include legal and regulatory requirement provisions?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Destruction,CEK-14,"Define, implement, and evaluate processes, procedures, and technical measures to securely destroy cryptographic keys when they are no longer needed, which include provisions for legal and regulatory requirements.",CEK-14.1,"Are processes, procedures, and technical measures which include provisions for legal and regulatory requirements, defined, implemented and evaluated, to securely destroy cryptographic keys when they are no longer needed?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Activation,CEK-15,"Define, implement and evaluate processes, procedures and technical measures to create keys in a pre-activated state when they have been generated but not authorized for use, which include provisions for legal and regulatory requirements.",CEK-15.1,"Are processes, procedures, and technical measures to create keys in a pre-activated state (i.e., when they have been generated but not authorized for use) defined, implemented, and evaluated, including provisions for legal and regulatory requirements?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Suspension,CEK-16,"Define, implement and evaluate processes, procedures and technical measures to monitor, review and approve key transitions from any state to/from suspension, which include provisions for legal and regulatory requirements.",CEK-16.1,"Are processes, procedures, and technical measures to monitor, review, and approve key transitions (e.g., from any state to/from suspension) defined, implemented, and evaluated including provisions for legal and regulatory requirements?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Deactivation,CEK-17,"Define, implement and evaluate processes, procedures and technical measures to deactivate keys at the time of their expiration date, which include provisions for legal and regulatory requirements.",CEK-17.1,"Are processes, procedures, and technical measures to deactivate keys (at the time of their expiration date) defined, implemented, and evaluated including provisions for legal and regulatory requirements?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Archival,CEK-18,"Define, implement and evaluate processes, procedures and technical measures to manage archived keys in a secure repository requiring least privilege access, which include provisions for legal and regulatory requirements.",CEK-18.1,"Are processes, procedures, and technical measures to manage archived keys in a secure repository (requiring least privilege access) defined, implemented, and evaluated including provisions for legal and regulatory requirements?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Compromise,CEK-19,"Define, implement and evaluate processes, procedures and technical measures to use compromised keys to encrypt information only in controlled circumstance, and thereafter exclusively for decrypting data and never for encrypting data, which include provisions for legal and regulatory requirements.",CEK-19.1,"Are processes, procedures, and technical measures to use compromised keys to encrypt information in specific scenarios (e.g., only in controlled circumstances and thereafter only for data decryption and never for encryption) defined implemented, and evaluated including provisions for legal and regulatory requirement?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Recovery,CEK-20,"Define, implement and evaluate processes, procedures and technical measures to assess the risk to operational continuity versus the risk of the keying material and the information it protects being exposed if control of the keying material is lost, which include provisions for legal and regulatory requirements.",CEK-20.1,"Are processes, procedures, and technical measures to assess operational continuity risks (versus the risk of losing control of keying material and exposing protected data) defined, implemented, and evaluated, including provisions for legal and regulatory requirement provisions?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Cryptography, Encryption & Key Management",Key Inventory Management,CEK-21,"Define, implement and evaluate processes, procedures and technical measures in order for the key management system to track and report all cryptographic materials and changes in status, which include provisions for legal and regulatory requirements.",CEK-21.1,"Are key management system processes, procedures, and technical measures defined, implemented, and evaluated to track and report all cryptographic materials and status changes including provisions for legal and regulatory requirements?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Off-Site Equipment Disposal Policy and Procedures,DCS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure disposal of equipment used outside the organization's premises. If the equipment is not physically destroyed a data destruction procedure that renders recovery of information impossible must be applied. Review and update the policies and procedures at least annually, or upon significant changes.",DCS-01.1,"Are policies and procedures for the secure disposal of equipment used outside the organization's premises established, documented, approved, communicated, enforced, and maintained?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-01.2,Is a data destruction procedure applied that renders information recovery information impossible if equipment is not physically destroyed?,,,,missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-01.3,"Are all policies and procedures for the secure disposal of equipment used outside the organization's premises reviewed and updated at least annually, or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Off-Site Transfer Authorization Policy and Procedures,DCS-02,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually, or upon significant changes.",DCS-02.1,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-02.2,Are the written or cryptographically verifiable authorization required for relocation or transfer request?,,,,missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-02.3,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually, or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Secure Area Policy and Procedures,DCS-03,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities. Review and update the policies and procedures at least annually, or upon significant changes.",DCS-03.1,"Are policies and procedures for maintaining a safe and secure working environment (in offices, rooms, and facilities) established, documented, approved, communicated, applied, evaluated and maintained?",Cloud-Specific,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network",missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-03.2,"Are policies and procedures for maintaining safe, secure working environments (e.g., offices, rooms, and facilities) reviewed and updated at least annually, or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Secure Media Transportation Policy and Procedures,DCS-04,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure transportation of physical media. Review and update the policies and procedures at least annually, or upon significant changes.",DCS-04.1,"Are policies and procedures for the secure transportation of physical media established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud-Specific,"Sensitive data disclosure, Model theft, Insecure supply chain",Phys,missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-04.2,"Are policies and procedures for the secure transportation of physical media reviewed and updated at least annually, or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Assets Classification,DCS-05,"Classify and document the physical, and logical assets (e.g., applications) based on the organizational business risk. Review and update the assets’ classification at least annually or upon significant changes.",DCS-05.1,Are the physical and logical assets (e.g. applications) classified and documented based on the organizational business risk?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-05.2,Is the assets' classification reviewed and updated at least annually or upon significant changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Assets Cataloguing and Tracking,DCS-06,Catalogue and track all relevant physical and logical assets located at all of the service providers sites within a secured system. Review and update the catalogue at least annually or upon significant changes.,DCS-06.1,Are all relevant physical and logical assets located at service provider sites catalogued and tracked within a secured system?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-06.2,Are catalogues reviewed and updated at least annually or upon significant changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Controlled Physical Access Points,DCS-07,"Design and implement physical security perimeters to safeguard personnel, data, and information systems.",DCS-07.1,"Are physical security perimeters designed and implemented to safeguard personnel, data, and information systems?",Cloud-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",Phys,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Equipment Identification,DCS-08,Use equipment identification as a method for connection authentication.,DCS-08.1,Is equipment identification used as a method for connection authentication?,Cloud-Specific,"Sensitive data disclosure, Model theft","Phys, Network, Compute, Storage, App",missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Secure Area Authorization,DCS-09,"Allow only authorized personnel access to secure areas, with all ingress and egress points restricted, documented, and monitored by physical access control mechanisms. Retain access control records on a periodic basis as deemed appropriate by the organization.",DCS-09.1,"Are solely authorized personnel able to access secure areas, with all ingress and egress areas restricted, documented, and monitored by physical access control mechanisms?",Cloud-Specific,"Sensitive data disclosure, Model theft",Phys,missing_info_agent; validation_agent; final_output_agent,
,,,,DCS-09.2,"Are access control records retained periodically, as deemed appropriate by the organization?",,,,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Surveillance System,DCS-10,"Implement, maintain, and operate datacenter surveillance systems at the external perimeter and at all the ingress and egress points to detect unauthorized ingress and egress attempts.",DCS-10.1,"Are datacenter surveillance systems at the external perimeter and at all the ingress and egress points, implemented, maintained, and operated to detect unauthorized ingress and egress attempts?",Cloud-Specific,"Model theft, Denial of Service (DoS), Loss of governance/compliance",Phys,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Adverse Event Response Training,DCS-11,"Train datacenter personnel to safely manage adverse events, including but not limited to unauthorized ingress and egress attempts.",DCS-11.1,"Are data center personnel trained to safely manage adverse events, including but not limited to unauthorized ingress and egress attempts?",Cloud-Specific,"Sensitive data disclosure, Model theft, Denial of Service (DoS)",Phys,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Cabling Security,DCS-12,"Define, implement and evaluate processes, procedures and technical measures that ensure a risk-based protection of power and telecommunication cables from a threat of interception, interference or damage at all facilities, offices and rooms.",DCS-12.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure risk-based protection of power and telecommunication cables from interception, interference, or damage threats at all facilities, offices, and rooms?",Cloud-Specific,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage",missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Environmental Systems,DCS-13,"Implement and maintain data center environmental control systems that monitor, maintain and test for continual effectiveness the temperature and humidity conditions within accepted industry standards.",DCS-13.1,"Are data center environmental control systems designed to implement and maintain, and test for continual effectiveness of temperature and humidity conditions within accepted industry standards?",Cloud-Specific,"Model/Service Failure/Malfunctioning, Denial of Service (DoS)",Phys,missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Secure Utilities,DCS-14,"Secure, monitor, maintain, and test utilities services for continual effectiveness at planned intervals.",DCS-14.1,"Are utility services secured, monitored, maintained, and tested at planned intervals for continual effectiveness?",Cloud-Specific,"Model/Service Failure/Malfunctioning, Denial of Service (DoS)","Phys, Network",missing_info_agent; validation_agent; final_output_agent,
Datacenter Security,Equipment Location,DCS-15,Keep business-critical equipment away from locations subject to high probability for environmental risk events.,DCS-15.1,Is business-critical equipment segregated from locations subject to a high probability of environmental risk events?,Cloud-Specific,"Model/Service Failure/Malfunctioning, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Security and Privacy Policy and Procedures,DSP-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the classification, protection, preparation and handling of data throughout its lifecycle, and according to all applicable laws and regulations,standards, and risk level. Review and update the policies and procedures at least annually.",DSP-01.1,"Are Security and Privacy Policies and Procedures established, documented, approved, communicated, applied, evaluated, and maintained for the classification, protection, preparation, and handling of data throughout its lifecycle, and according to all applicable laws and regulations, standards, and risk level?",Cloud & AI Related,"Sensitive data disclosure, Loss of governance/compliance","Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DSP-01.2,Are Security and Privacy Policies and Procedures reviewed and updated at least annually?,,,,missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Secure Disposal,DSP-02,Apply industry accepted methods for the secure disposal of data from storage media such that data is not recoverable by any forensic means.,DSP-02.1,Are industry-accepted methods applied for securely disposing of data from storage media so that it is not recoverable by any forensic means?,Cloud & AI Related,"Sensitive data disclosure, Loss of governance/compliance","Phys, Network, Compute, Storage, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Inventory,DSP-03,"Create and maintain a data inventory, at least for any sensitive, regulated and personal data. Review and update the inventory at least annually or upon significant changes.",DSP-03.1,"Are data inventories created and maintained at least for any sensitive, regulated, and personal data?",Cloud & AI Related,"Sensitive data disclosure, Loss of governance/compliance","Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DSP-03.2,Are inventories reviewed and updated at least annually or upon significant changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Classification,DSP-04,Classify data according to its type and sensitivity level.,DSP-04.1,Are data classified according to its type and sensitivity level?,Cloud & AI Related,"Sensitive data disclosure, Loss of governance/compliance","Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Flow Documentation,DSP-05,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and after any change.",DSP-05.1,"Are data flow documentation created to identify what data is processed, stored, or transmitted where?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DSP-05.2,"Are data flow documentation reviewed at defined intervals, at least annually, and after any change?",,,,missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Ownership and Stewardship,DSP-06,Document ownership and stewardship of all relevant documented personal and sensitive data. Perform review at least annually.,DSP-06.1,Are ownership and stewardship of all relevant personal and sensitive data documented?,Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance",,missing_info_agent; validation_agent; final_output_agent,
,,,,DSP-06.2,Are reviews performed at least annually for the documented ownership and stewardship of all relevant personal and sensitive data?,,,,missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Protection by Design and Default,DSP-07,"Develop systems, products, and business practices based upon a principle of security by design and industry best practices.",DSP-07.1,"Are systems, products, and business practices developed based upon a principle of security by design and industry best practices?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Privacy by Design and Default,DSP-08,"Develop systems, products, and business practices based upon a principle of privacy by design and industry best practices. Ensure that systems' privacy settings are configured by default, according to all applicable laws and regulations.",DSP-08.1,"Are systems, products, and business practices developed based upon a principle of privacy by design and industry best practices?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DSP-08.2,"Are systems' privacy settings configured by default, according to all applicable laws and regulations?",,,,missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Protection Impact Assessment,DSP-09,"Conduct a Data Protection Impact Assessment (DPIA) to evaluate the origin, nature, particularity and severity of the risks upon the processing of personal data, according to any applicable laws, regulations and industry best practices.",DSP-09.1,"Are Data Protection Impact Assessments (DPIAs) conducted to evaluate the origin, nature, particularity, and severity of the risks upon the processing of personal data, according to any applicable laws, regulations, and industry best practices?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","Network, Compute, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Sensitive Data Transfer,DSP-10,"Define, implement and evaluate processes, procedures and technical measures that ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope as permitted by the respective laws and regulations.",DSP-10.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated that ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope as permitted by the respective laws and regulations?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,"Personal Data Access, Reversal, Rectification and Deletion",DSP-11,"Define and implement, processes, procedures and technical measures to enable data subjects to request access to, modification, or deletion of their personal data, according to any applicable laws and regulations.",DSP-11.1,"Are processes, procedures, and technical measures defined and implemented to enable data subjects to request access to, modify, or delete their personal data according to applicable laws and regulations?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Limitation of Purpose in Personal Data Processing,DSP-12,"Define, implement and evaluate processes, procedures and technical measures to ensure that personal data is processed according to any applicable laws and regulations and for the purposes declared to the data subject.",DSP-12.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure that personal data is processed according to applicable laws and regulations and for the purposes declared to the data subject?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Personal Data Sub-processing,DSP-13,"Define, implement and evaluate processes, procedures and technical measures for the transfer and sub-processing of personal data within the service supply chain, according to any applicable laws and regulations.",DSP-13.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated for transferring and sub-processing personal data within the service supply chain according to applicable laws and regulations?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Disclosure of Data Sub-processors,DSP-14,"Define, implement and evaluate processes, procedures and technical measures to disclose the details of any personal or sensitive data access by sub-processors to the data owner prior to initiation of that processing.",DSP-14.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to disclose the details of any personal or sensitive data access by sub-processors to the data owner before initiating that processing?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins","App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Limitation of Production Data Use,DSP-15,"Obtain authorization from data owners, and manage associated risk before replicating or using production data in non-production environments.",DSP-15.1,Are authorizations obtained from data owners and associated risks managed before replicating or using production data in non-production environments?,Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Retention and Deletion,DSP-16,"Data retention, archiving and deletion is managed in accordance with business requirements, applicable laws and regulations.",DSP-16.1,"Are data retention, archiving, and deletion managed per business requirements, applicable laws, and regulations?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Sensitive Data Protection,DSP-17,"Define and implement, processes, procedures and technical measures to protect sensitive data throughout its lifecycle.",DSP-17.1,"Are processes, procedures, and technical measures defined and implemented to protect sensitive data throughout its lifecycle?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Disclosure Notification,DSP-18,The providers should implement and describe to customers the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations.,DSP-18.1,"Are the procedures to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations, implemented and described to the customers by the providers?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Location,DSP-19,"Define and implement, processes, procedures and technical measures to specify and document the physical locations of data, including any locations in which data is processed or backed up.",DSP-19.1,"Are processes, procedures, and technical measures defined and implemented to specify and document the physical locations of data, including any locations where data is processed or backed up?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Loss of governance/compliance","Phys, Network, Storage, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Provenance and Transparency,DSP-20,"Define, implement and evaluate processes, procedures and technical measures to: 1) Document and trace data sources, and 2) Make the data source available according to legal and regulatory requirements",DSP-20.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to: 1) Document and trace data sources, and 2) Make the data source available according to legal and regulatory requirements",Cloud & AI Related,"Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Poisoning Prevention & Detection,DSP-21,"Define, implement and evaluate processes, procedures and technical measures to prevent data poisoning in AI models and continuously detect such.",DSP-21.1,"Are processes, procedures and technical measures to prevent data poisoning in AI models and continuously detect such, defined, implemented and evaluated?",AI-Specific,"Data poisoning, Model/Service Failure/Malfunctioning, Insecure supply chain, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Privacy Enhancing Technologies,DSP-22,"Use Privacy Enhancing Technologies for training data, informed by risk and privacy impact analysis and business use cases.",DSP-22.1,Are Privacy Enhancing Technologies (PET) used for training data informed by risk and privacy impact analysis and business use cases?,AI-Specific,"Sensitive data disclosure, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Integrity Check,DSP-23,"Regularly validate the consistency and conformity of training, fine-tuning or augmentation data. Implement dataset versioning to ensure traceability and enforce restrictions to prevent unauthorized changes.",DSP-23.1,"Is the consistency and conformity of training, fine-tuning or augmentation data regularly validated?",AI-Specific,"Model manipulation, Data poisoning, Model/Service Failure/Malfunctioning, Insecure supply chain, Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,DSP-23.2,"Is dataset versioning to ensure traceability implemented and are restrictions to prevent unauthorized changes, enforced?",,,,missing_info_agent; validation_agent; final_output_agent,
Data Security and Privacy Lifecycle Management,Data Differentiation and Relevance,DSP-24,Ensure training-data differentiation and relevance to the intended use of the AI Model.,DSP-24.1,"Is training-data differentiation and relevance to the intended use of the AI Model, ensured?",AI-Specific,"Data poisoning, Model/Service Failure/Malfunctioning, Loss of governance/compliance","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
